,Unnamed: 0,Unnamed: 0.1,retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,park_location,inning_number,bat_home_id,outs_ct,pit_mlbid,pit_first_name,pit_last_name,pit_box_name,pit_hand_cd,bat_mlbid,bat_first_name,bat_last_name,bat_box_name,bat_hand_cd,ab_number,start_bases,end_bases,event_outs_ct,pa_ball_ct,pa_strike_ct,pitch_seq,pa_terminal_fl,pa_event_cd,pitch_res,pitch_des,pitch_id,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,pitch_type_seq,type_confidence,zone,spin_dir,spin_rate,sv_id
813,534073,2352,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,424825,Coco,Crisp,Crisp,L,1,___,___,0,0,0,B,F,23,B,Ball,3,87.88,220.07,90.8,82.9,3.32,1.5,-2.32,14.43,0.764,0.693,-2.155,50.0,5.474,8.389,-132.485,-11.171,-4.079,30.805,-6.7,23.7,13.3,2.2,FF,FF,0.9009999999999999,14.0,189.095,2825.0759999999996,160817_191724
814,534074,2353,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,424825,Coco,Crisp,Crisp,L,1,___,___,0,1,0,BX,T,23,X,"In play, run(s)",4,121.23,146.9,89.9,83.2,3.32,1.5,-4.26,11.6,-0.111,3.403,-2.21,50.0,5.644,6.916,-131.643,-3.623,-7.526,25.923000000000002,-11.585,23.8,26.7,3.2,FF,FF|FF,0.904,11.0,200.078,2415.865,160817_191740
815,534075,2354,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,2,___,___,1,0,0,S,F,3,S,Called Strike,9,96.15,177.06,91.3,84.1,3.45,1.64,-1.82,11.23,0.547,2.286,-2.253,50.0,5.586,8.005,-133.549,-6.459,-3.285,28.837,-11.822000000000001,23.8,6.9,3.0,FF,FF,0.903,6.0,189.167,2239.513,160817_191828
816,534076,2355,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,2,___,___,1,0,1,SB,F,3,B,Ball,10,205.89,151.95,90.2,83.0,3.44,1.53,-8.35,8.23,-2.332,3.216,-2.34,50.0,5.7379999999999995,2.8480000000000003,-132.219,-3.214,-14.754000000000001,28.581999999999997,-17.549,23.8,37.8,5.3,FT,FF|FT,0.897,11.0,225.25099999999998,2279.474,160817_191846
817,534077,2356,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,2,___,___,1,1,1,SBB,F,3,B,Ball,11,107.39,146.17,78.4,71.6,3.36,1.39,8.73,-2.43,0.252,3.43,-2.489,50.0,5.789,3.6239999999999997,-114.931,2.529,11.458,25.127,-35.286,23.7,-19.3,11.4,SL,FF|FT|SL,0.894,12.0,74.805,1498.749,160817_191908
818,534078,2357,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,2,___,___,1,2,1,SBBB,F,3,B,Ball,12,141.81,219.83,78.0,71.7,3.42,1.64,11.72,-3.49,-0.6509999999999999,0.7020000000000001,-2.5540000000000003,50.0,5.51,0.863,-114.40799999999999,-2.582,15.203,25.29300000000001,-36.626999999999995,23.8,-22.4,12.6,SL,FF|FT|SL|SL,0.903,13.0,73.67399999999998,2008.854,160817_191930
819,534079,2358,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,2,___,___,1,3,1,SBBBS,F,3,S,Called Strike,13,102.78,195.34,92.4,85.8,3.57,1.64,-0.87,11.47,0.373,1.609,-2.335,50.0,5.33,7.548999999999999,-135.031,-7.9579999999999975,-1.626,26.74,-10.727,23.8,0.9,2.7,FF,FF|FT|SL|SL|FF,0.9009999999999999,14.0,184.334,2310.893,160817_191957
820,534080,2359,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,0,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,2,___,___,1,3,2,SBBBSS,T,3,S,Called Strike,14,95.96,193.2,94.1,86.6,3.47,1.64,-0.55,11.97,0.552,1.6880000000000002,-2.248,50.0,5.2970000000000015,7.7920000000000025,-137.496,-8.109,-1.045,30.389,-9.169,23.8,-3.3,2.3,FF,FF|FT|SL|SL|FF|FF,0.8959999999999999,9.0,182.59900000000002,2429.864,160817_192027
821,534081,2360,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,1,506433,Yu,Darvish,Darvish,R,519390,Stephen,Vogt,Vogt,L,3,___,___,2,0,0,B,F,2,B,Ball,18,122.26,248.31,71.4,66.6,3.34,1.49,6.43,-8.15,-0.138,-0.353,-2.215,50.0,5.678999999999999,2.555,-104.656,-2.405,7.026,20.033,-41.005,23.9,-10.0,15.6,CU,CU,0.885,13.0,38.505,1564.371,160817_192115
822,534082,2361,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",1,0,1,506433,Yu,Darvish,Darvish,R,519390,Stephen,Vogt,Vogt,L,3,___,___,2,1,0,BS,F,2,S,Foul,19,96.49,186.97,92.3,86.0,3.34,1.49,-2.97,11.87,0.5379999999999999,1.919,-2.365,50.0,5.353,8.812999999999997,-134.891,-7.349,-5.557,25.38,-9.918,23.9,19.3,2.6,FF,CU|FF,0.904,9.0,194.018,2467.1679999999997,160817_192135
